Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-09,145.0,25.3,26.05,0.4236,0.9773,0.0038,0.018
2019-02-09,145.0,0.06,0.08,0.3886,-0.0149,0.0029,0.0125
2019-02-09,152.5,17.9,18.55,0.3267,0.9627,0.0075,0.0271
2019-02-09,152.5,0.12,0.16,0.3166,-0.033,0.007,0.0246
2019-02-09,157.5,13.3,13.55,0.295,0.9208,0.015,0.0492
2019-02-09,157.5,0.26,0.29,0.2763,-0.0664,0.014,0.0434
2019-02-09,162.5,8.75,8.9,0.2582,0.8376,0.0285,0.082
2019-02-09,162.5,0.64,0.67,0.2455,-0.1507,0.0287,0.0811
2019-02-09,167.5,4.8,4.95,0.235,0.6623,0.0466,0.1219
2019-02-09,167.5,1.68,1.73,0.2265,-0.3337,0.0485,0.1232
2019-02-09,170.0,3.25,3.35,0.2261,0.5393,0.0526,0.1324
2019-02-09,170.0,2.6,2.69,0.2191,-0.4621,0.0549,0.1326
2019-02-09,175.0,1.22,1.26,0.2178,0.2812,0.0464,0.1125
2019-02-09,175.0,5.5,5.7,0.2099,-0.7317,0.0484,0.1097
2019-02-09,177.5,0.68,0.71,0.2172,0.1803,0.0362,0.0876
2019-02-09,177.5,7.45,7.65,0.205,-0.8422,0.0374,0.0828
2019-02-09,182.5,0.2,0.23,0.2261,0.0662,0.0171,0.0429
2019-02-09,182.5,11.95,12.5,0.2321,-0.9388,0.0185,0.0437
2019-02-09,187.5,0.08,0.11,0.2529,0.0296,0.008,0.0225
2019-02-09,187.5,16.95,17.45,0.2926,-0.9563,0.0115,0.0319
2019-02-09,195.0,0.02,0.05,0.2818,0.0082,0.0024,0.0075
2019-02-09,195.0,24.35,24.95,0.334,-0.9875,0.0051,0.0114
2019-02-09,145.0,25.9,26.15,0.3602,0.9543,0.0056,0.0453
2019-02-09,145.0,0.18,0.22,0.3269,-0.0321,0.0047,0.034
2019-02-09,152.5,18.6,18.9,0.301,0.9188,0.0106,0.0709
2019-02-09,152.5,0.4,0.45,0.2836,-0.0697,0.01,0.0631
2019-02-09,157.5,14.0,14.25,0.2734,0.8653,0.0168,0.1023
2019-02-09,157.5,0.75,0.81,0.2604,-0.1239,0.0167,0.1011
2019-02-09,162.5,9.75,9.95,0.2514,0.7721,0.0255,0.1426
2019-02-09,162.5,1.5,1.57,0.2448,-0.2231,0.026,0.1459
2019-02-09,167.5,6.15,6.35,0.2384,0.6268,0.0336,0.1787
2019-02-09,167.5,2.88,2.96,0.2322,-0.3727,0.0349,0.1795
2019-02-09,170.0,4.7,4.85,0.234,0.5397,0.036,0.1873
2019-02-09,170.0,3.85,4.0,0.2269,-0.4629,0.0376,0.1874
2019-02-09,175.0,2.45,2.52,0.2245,0.3575,0.0352,0.1761
2019-02-09,175.0,6.6,6.7,0.217,-0.654,0.0371,0.1734
2019-02-09,177.5,1.67,1.76,0.2222,0.2743,0.0318,0.1573
2019-02-09,177.5,8.25,8.5,0.2129,-0.7438,0.0336,0.1556
2019-02-09,182.5,0.73,0.77,0.2203,0.1444,0.0219,0.1072
2019-02-09,182.5,12.3,12.6,0.2055,-0.8878,0.0227,0.0942
2019-02-09,187.5,0.32,0.36,0.2275,0.0729,0.0129,0.0653
2019-02-09,187.5,17.0,17.25,0.2015,-0.9726,0.0123,0.0337
2019-02-09,195.0,0.11,0.14,0.2476,0.0285,0.0056,0.0308
2019-02-09,195.0,24.35,24.65,0.2476,-0.9922,0.006,0.013
2019-02-09,145.0,26.35,26.7,0.3136,0.9324,0.0067,0.0816
2019-02-09,145.0,0.43,0.47,0.2927,-0.0556,0.0061,0.07
2019-02-09,152.5,19.4,19.65,0.2791,0.8793,0.0115,0.1253
2019-02-09,152.5,0.93,0.98,0.2684,-0.1125,0.0115,0.1225
2019-02-09,157.5,15.05,15.35,0.2644,0.8155,0.0162,0.1663
2019-02-09,157.5,1.56,1.63,0.2549,-0.1775,0.0165,0.1617
2019-02-09,162.5,11.15,11.4,0.2525,0.7251,0.0212,0.2082
2019-02-09,162.5,2.61,2.7,0.2447,-0.2713,0.0219,0.205
2019-02-09,167.5,7.75,8.0,0.2422,0.6095,0.0254,0.2395
2019-02-09,167.5,4.2,4.35,0.2366,-0.3921,0.0264,0.2418
2019-02-09,170.0,6.3,6.5,0.2371,0.5444,0.0268,0.2474
2019-02-09,170.0,5.2,5.4,0.2314,-0.4599,0.028,0.2474
2019-02-09,175.0,3.95,4.1,0.2303,0.4085,0.027,0.2424
2019-02-09,175.0,7.8,8.0,0.2229,-0.6033,0.0286,0.2383
2019-02-09,177.5,3.0,3.15,0.2263,0.3416,0.026,0.2291
2019-02-09,177.5,9.4,9.6,0.2203,-0.6733,0.0275,0.228
2019-02-09,182.5,1.68,1.78,0.2226,0.2244,0.0216,0.1869
2019-02-09,182.5,13.05,13.3,0.2136,-0.8012,0.0231,0.1769
2019-02-09,187.5,0.88,0.96,0.2211,0.1364,0.0158,0.1364
2019-02-09,187.5,17.3,17.6,0.2091,-0.8999,0.017,0.1105
2019-02-09,195.0,0.34,0.39,0.2265,0.0616,0.0086,0.0759
2019-02-09,195.0,24.4,24.7,0.2265,-0.966,0.0101,0.0506
2019-02-16,145.0,25.45,25.65,0.3393,0.9934,0.0016,0.0062
2019-02-16,145.0,0.03,0.07,0.3867,-0.0145,0.0028,0.0122
2019-02-16,152.5,18.0,18.25,0.2744,0.9827,0.0047,0.0143
2019-02-16,152.5,0.11,0.13,0.3082,-0.0296,0.0065,0.0224
2019-02-16,157.5,13.1,13.35,0.2439,0.955,0.0117,0.0316
2019-02-16,157.5,0.2,0.23,0.2616,-0.0566,0.013,0.038
2019-02-16,162.5,8.4,8.65,0.2175,0.8773,0.028,0.0678
2019-02-16,162.5,0.48,0.53,0.2254,-0.1309,0.0284,0.0731
2019-02-16,167.5,4.4,4.55,0.2013,0.6854,0.0529,0.1185
2019-02-16,167.5,1.4,1.49,0.205,-0.3187,0.0526,0.1183
2019-02-16,170.0,2.84,2.94,0.1948,0.5434,0.061,0.1323
2019-02-16,170.0,2.32,2.41,0.1983,-0.4593,0.0607,0.1326
2019-02-16,175.0,0.91,0.97,0.1902,0.2522,0.0503,0.1065
2019-02-16,175.0,5.35,5.55,0.1968,-0.7462,0.0504,0.1095
2019-02-16,177.5,0.46,0.5,0.191,0.1483,0.0363,0.0772
2019-02-16,177.5,7.35,7.6,0.1962,-0.8533,0.0375,0.0774
2019-02-16,182.5,0.11,0.15,0.2035,0.047,0.0144,0.0327
2019-02-16,182.5,12.05,12.3,0.2208,-0.9495,0.0175,0.0367
2019-02-16,187.5,0.05,0.07,0.2349,0.021,0.0064,0.0169
2019-02-16,187.5,17.05,17.3,0.2873,-0.9599,0.0111,0.0312
2019-02-16,195.0,0.01,0.03,0.2478,0.0031,0.0012,0.0032
2019-02-16,195.0,24.5,24.75,0.2964,-0.9997,0.0013,0.0006
2019-02-16,145.0,25.7,25.95,0.3024,0.977,0.0038,0.0257
2019-02-16,145.0,0.15,0.18,0.3163,-0.028,0.0043,0.0303
2019-02-16,155.0,16.0,16.25,0.2491,0.9248,0.0121,0.0669
2019-02-16,155.0,0.43,0.47,0.2553,-0.0799,0.0124,0.0724
2019-02-16,160.0,11.5,11.65,0.2308,0.8532,0.0211,0.1084
2019-02-16,160.0,0.88,0.91,0.2348,-0.1511,0.0213,0.1128
2019-02-16,165.0,7.45,7.6,0.2175,0.7254,0.0325,0.1572
2019-02-16,165.0,1.8,1.85,0.2192,-0.2773,0.0327,0.1568
2019-02-16,170.0,4.2,4.3,0.2059,0.542,0.0409,0.1871
2019-02-16,170.0,3.5,3.6,0.2071,-0.4615,0.0413,0.1872
2019-02-16,175.0,2.02,2.09,0.1999,0.3383,0.0388,0.1725
2019-02-16,175.0,6.3,6.4,0.2001,-0.6685,0.0397,0.173
2019-02-16,180.0,0.84,0.88,0.1983,0.1751,0.0276,0.1216
2019-02-16,180.0,10.15,10.35,0.2038,-0.8295,0.0287,0.1214
2019-02-16,185.0,0.32,0.37,0.2031,0.0811,0.0157,0.0708
2019-02-16,185.0,14.65,14.9,0.2113,-0.9265,0.0175,0.0697
2019-02-16,195.0,0.07,0.12,0.2371,0.0232,0.0049,0.0259
2019-02-16,195.0,24.55,24.75,0.2784,-0.9693,0.0081,0.0347
2019-02-23,147.0,25.7,26.45,0.3725,0.9887,0.0023,0.01
2019-02-23,147.0,0.04,0.06,0.3725,-0.0113,0.0023,0.01
2019-02-23,155.0,17.75,18.5,0.2029,0.9975,0.0011,0.0026
2019-02-23,155.0,0.09,0.11,0.2949,-0.0259,0.006,0.0204
2019-02-23,160.0,12.8,13.6,0.2117,0.9729,0.0087,0.0212
2019-02-23,160.0,0.16,0.18,0.2461,-0.0482,0.012,0.0339
2019-02-23,165.0,8.45,8.6,0.2073,0.8862,0.0274,0.0653
2019-02-23,165.0,0.4,0.44,0.2109,-0.1176,0.0277,0.0687
2019-02-23,170.0,4.35,4.5,0.1911,0.6941,0.0542,0.1188
2019-02-23,170.0,1.28,1.34,0.1921,-0.308,0.0545,0.1198
2019-02-23,172.5,2.76,2.86,0.1838,0.5479,0.0636,0.1341
2019-02-23,172.5,2.17,2.25,0.1857,-0.4548,0.0638,0.1345
2019-02-23,177.5,0.81,0.86,0.1765,0.241,0.0521,0.1055
2019-02-23,177.5,5.15,5.35,0.1788,-0.7629,0.0531,0.1043
2019-02-23,180.0,0.39,0.44,0.1788,0.1372,0.0363,0.0743
2019-02-23,180.0,7.2,7.5,0.1829,-0.867,0.0377,0.0765
2019-02-23,185.0,0.12,0.14,0.1999,0.0471,0.0145,0.0333
2019-02-23,185.0,12.0,12.55,0.2514,-0.9152,0.0202,0.0538
2019-02-23,190.0,0.04,0.07,0.228,0.0197,0.0062,0.0162
2019-02-23,190.0,16.9,17.5,0.3053,-0.9441,0.0125,0.0394
2019-02-23,200.0,0.01,0.02,0.228,0.0007,0.0003,0.0008
2019-02-23,200.0,26.75,27.5,0.3053,-1.0,0.0001,0.0
2019-02-23,147.0,26.2,26.55,0.3016,0.978,0.0036,0.0251
2019-02-23,147.0,0.11,0.15,0.305,-0.0231,0.0038,0.0262
2019-02-23,155.0,18.35,18.7,0.2503,0.9502,0.0086,0.0492
2019-02-23,155.0,0.26,0.29,0.2541,-0.0523,0.0088,0.0512
2019-02-23,160.0,13.65,13.95,0.229,0.9018,0.0158,0.0829
2019-02-23,160.0,0.5,0.54,0.2287,-0.0979,0.0159,0.0852
2019-02-23,165.0,9.25,9.5,0.2099,0.8091,0.0271,0.1303
2019-02-23,165.0,1.07,1.15,0.2114,-0.1931,0.0273,0.1356
2019-02-23,170.0,5.55,5.75,0.1996,0.6466,0.0389,0.1779
2019-02-23,170.0,2.3,2.4,0.1987,-0.3551,0.0396,0.1773
2019-02-23,172.5,4.0,4.2,0.1934,0.5453,0.0428,0.1897
2019-02-23,172.5,3.25,3.4,0.1936,-0.4584,0.0435,0.1899
2019-02-23,177.5,1.83,1.92,0.1856,0.3299,0.0408,0.1733
2019-02-23,177.5,6.0,6.2,0.185,-0.6788,0.042,0.1742
2019-02-23,180.0,1.15,1.2,0.1831,0.2349,0.0351,0.147
2019-02-23,180.0,7.8,8.1,0.1845,-0.7742,0.0363,0.1466
2019-02-23,185.0,0.41,0.45,0.184,0.1044,0.0206,0.0867
2019-02-23,185.0,12.1,12.4,0.1852,-0.912,0.0222,0.0812
2019-02-23,190.0,0.15,0.19,0.1936,0.0455,0.0103,0.0457
2019-02-23,190.0,16.95,17.25,0.2085,-0.9607,0.0131,0.0437
2019-02-23,200.0,0.03,0.06,0.2086,0.0071,0.002,0.0094
2019-02-23,200.0,26.85,27.2,0.2343,-1.0,0.0,0.0
2019-03-02,150.0,24.6,25.25,0.3682,0.9857,0.0029,0.0124
2019-03-02,150.0,0.06,0.07,0.3682,-0.0143,0.0029,0.0124
2019-03-02,157.5,17.45,17.9,0.2579,0.9835,0.0047,0.0141
2019-03-02,157.5,0.1,0.12,0.2893,-0.0284,0.0066,0.0222
2019-03-02,162.5,12.65,12.9,0.2294,0.9548,0.0121,0.0325
2019-03-02,162.5,0.17,0.19,0.2386,-0.0516,0.013,0.0362
2019-03-02,167.5,7.95,8.15,0.1993,0.8778,0.0297,0.0693
2019-03-02,167.5,0.43,0.45,0.2024,-0.1255,0.03,0.0749
2019-03-02,172.5,3.9,4.05,0.1797,0.6736,0.0587,0.1233
2019-03-02,172.5,1.34,1.38,0.181,-0.3288,0.059,0.1259
2019-03-02,175.0,2.41,2.46,0.1734,0.5161,0.0672,0.1363
2019-03-02,175.0,2.28,2.33,0.1732,-0.4869,0.0683,0.1363
2019-03-02,177.5,1.28,1.31,0.1662,0.3461,0.0649,0.1262
2019-03-02,177.5,3.6,3.75,0.1661,-0.6594,0.0662,0.125
2019-03-02,182.5,0.25,0.27,0.1624,0.1001,0.0316,0.0601
2019-03-02,182.5,7.55,7.85,0.1664,-0.9069,0.0338,0.0603
2019-03-02,187.5,0.05,0.07,0.1783,0.0262,0.01,0.0208
2019-03-02,187.5,12.15,12.9,0.1783,-0.9926,0.0106,0.0101
2019-03-02,192.5,0.02,0.03,0.2076,0.0105,0.0039,0.0095
2019-03-02,192.5,17.15,17.9,0.2076,-1.0,0.0,0.0
2019-03-02,200.0,0.01,0.02,0.2076,0.0006,0.0003,0.0007
2019-03-02,200.0,24.55,25.35,0.2076,-1.0,0.0,0.0
2019-03-02,149.0,25.9,26.85,0.2963,0.9785,0.0036,0.0249
2019-03-02,149.0,0.11,0.15,0.3012,-0.0232,0.0038,0.0265
2019-03-02,157.5,17.9,18.2,0.2455,0.9464,0.0092,0.0528
2019-03-02,157.5,0.27,0.3,0.2471,-0.0547,0.0093,0.0536
2019-03-02,162.5,13.15,13.45,0.2193,0.8999,0.0165,0.0851
2019-03-02,162.5,0.51,0.56,0.2214,-0.1021,0.0167,0.0912
2019-03-02,167.5,8.85,9.0,0.203,0.7993,0.0285,0.1358
2019-03-02,167.5,1.12,1.17,0.2035,-0.202,0.0288,0.1391
2019-03-02,172.5,5.15,5.3,0.1907,0.6302,0.0409,0.1828
2019-03-02,172.5,2.4,2.5,0.1913,-0.3728,0.0414,0.1842
2019-03-02,175.0,3.65,3.8,0.185,0.5239,0.0445,0.1928
2019-03-02,175.0,3.4,3.55,0.1867,-0.4803,0.0449,0.1926
2019-03-02,177.5,2.47,2.57,0.1804,0.4114,0.0445,0.1884
2019-03-02,177.5,4.7,4.85,0.182,-0.5939,0.0452,0.1892
2019-03-02,182.5,0.95,1.01,0.1747,0.2096,0.034,0.1394
2019-03-02,182.5,8.1,8.4,0.1753,-0.802,0.0355,0.1364
2019-03-02,187.5,0.31,0.35,0.1751,0.0863,0.0186,0.0762
2019-03-02,187.5,12.5,13.05,0.192,-0.9092,0.0214,0.0839
2019-03-02,192.5,0.09,0.13,0.1809,0.0326,0.0083,0.0353
2019-03-02,192.5,17.15,17.95,0.1947,-0.98,0.0115,0.0273
2019-03-02,200.0,0.02,0.05,0.1872,0.0059,0.0019,0.0081
2019-03-02,200.0,24.65,25.55,0.2158,-1.0,0.0,0.0
2019-03-09,147.0,24.15,28.25,0.4382,0.9744,0.004,0.0202
2019-03-09,147.0,0.08,0.1,0.4048,-0.0177,0.0032,0.0148
2019-03-09,155.0,18.2,18.4,0.3465,0.9518,0.0086,0.0338
2019-03-09,155.0,0.18,0.2,0.3306,-0.041,0.0079,0.0297
2019-03-09,160.0,13.3,14.2,0.3466,0.8837,0.0167,0.0661
2019-03-09,160.0,0.32,0.34,0.2846,-0.0749,0.0147,0.0478
2019-03-09,165.0,8.75,8.95,0.2578,0.8349,0.0285,0.0839
2019-03-09,165.0,0.69,0.72,0.2483,-0.1566,0.0287,0.0823
2019-03-09,170.0,4.75,4.85,0.2258,0.6659,0.0477,0.123
2019-03-09,170.0,1.67,1.71,0.2224,-0.3331,0.0488,0.1248
2019-03-09,172.5,3.15,3.25,0.2156,0.5399,0.0545,0.1342
2019-03-09,172.5,2.55,2.6,0.2111,-0.4617,0.0562,0.1344
2019-03-09,177.5,1.01,1.05,0.1962,0.2615,0.0491,0.11
2019-03-09,177.5,5.35,5.5,0.1915,-0.7503,0.0508,0.1107
2019-03-09,180.0,0.49,0.51,0.1913,0.1515,0.0363,0.0793
2019-03-09,180.0,7.35,7.5,0.1864,-0.8646,0.0374,0.0775
2019-03-09,185.0,0.11,0.13,0.198,0.0444,0.014,0.0317
2019-03-09,185.0,9.95,14.15,0.198,-0.9698,0.0153,0.0257
2019-03-09,190.0,0.04,0.05,0.2225,0.0169,0.0056,0.0142
2019-03-09,190.0,15.1,19.1,0.2408,-0.9883,0.0081,0.0122
2019-03-09,200.0,0.01,0.03,0.2545,0.002,0.0007,0.0021
2019-03-09,200.0,24.95,29.1,0.33,-0.9971,0.003,0.0039
2019-03-16,157.5,28.65,29.15,0.4324,0.9786,0.0033,0.0187
2019-03-16,157.5,0.06,0.08,0.395,-0.0135,0.0024,0.0126
2019-03-16,167.5,18.8,19.15,0.3171,0.9595,0.0075,0.0317
2019-03-16,167.5,0.15,0.17,0.3059,-0.0354,0.007,0.0284
2019-03-16,172.5,14.0,14.25,0.2765,0.9263,0.0139,0.0509
2019-03-16,172.5,0.26,0.28,0.2622,-0.0637,0.0131,0.0455
2019-03-16,177.5,9.3,9.6,0.2385,0.8554,0.0262,0.0829
2019-03-16,177.5,0.58,0.6,0.2297,-0.1361,0.0262,0.08
2019-03-16,182.5,5.35,5.45,0.2186,0.6925,0.0441,0.1281
2019-03-16,182.5,1.51,1.55,0.2122,-0.3037,0.0455,0.1288
2019-03-16,185.0,3.75,3.8,0.2128,0.5749,0.0505,0.1428
2019-03-16,185.0,2.36,2.41,0.2056,-0.425,0.0528,0.1429
2019-03-16,190.0,1.52,1.54,0.2061,0.3202,0.0476,0.1303
2019-03-16,190.0,5.1,5.2,0.1982,-0.6919,0.0499,0.127
2019-03-16,192.5,0.89,0.92,0.2067,0.215,0.0388,0.1065
2019-03-16,192.5,6.95,7.2,0.2006,-0.7989,0.0401,0.103
2019-03-16,200.0,0.19,0.2,0.2257,0.0566,0.0138,0.0414
2019-03-16,200.0,13.75,14.35,0.2456,-0.936,0.0162,0.0487
2019-03-16,205.0,0.08,0.1,0.2493,0.0265,0.0067,0.0223
2019-03-16,205.0,18.5,19.15,0.2493,-0.986,0.0074,0.0147
2019-03-16,215.0,0.03,0.04,0.3078,0.0094,0.0023,0.0092
2019-03-16,215.0,27.9,29.55,0.3078,-1.0,0.0004,0.0
